Color;Espina;Ancho;Peso;Satélites;Logit;Log-lin
3;3;28,3;3050;8;1;6-10
4;3;22,5;1550;0;0;0-5
2;1;26;2300;9;1;6-10
4;3;24,8;2100;0;0;0-5
4;3;26;2600;4;1;0-5
3;3;23,8;2100;0;0;0-5
2;1;26,5;2350;0;0;0-5
4;2;24,7;1900;0;0;0-5
3;1;23,7;1950;0;0;0-5
4;3;25,6;2150;0;0;0-5
4;3;24,3;2150;0;0;0-5
3;3;25,8;2650;0;0;0-5
3;3;28,2;3050;11;1;>10
5;2;21;1850;0;0;0-5
3;1;26;2300;14;1;>10
2;1;27,1;2950;8;1;6-10
3;3;25,2;2000;1;1;0-5
3;3;29;3000;1;1;0-5
5;3;24,7;2200;0;0;0-5
3;3;27,4;2700;5;1;0-5
3;2;23,2;1950;4;1;0-5
2;2;25;2300;3;1;0-5
3;1;22,5;1600;1;1;0-5
4;3;26,7;2600;2;1;0-5
5;3;25,8;2000;3;1;0-5
5;3;26,2;1300;0;0;0-5
3;3;28,7;3150;3;1;0-5
3;1;26,8;2700;5;1;0-5
5;3;27,5;2600;0;0;0-5
3;3;24,9;2100;0;0;0-5
2;1;29,3;3200;4;1;0-5
2;3;25,8;2600;0;0;0-5
3;2;25,7;2000;0;0;0-5
3;1;25,7;2000;8;1;6-10
3;1;26,7;2700;5;1;0-5
5;3;23,7;1850;0;0;0-5
3;3;26,8;2650;0;0;0-5
3;3;27,5;3150;6;1;6-10
5;3;23,4;1900;0;0;0-5
3;3;27,9;2800;6;1;6-10
4;3;27,5;3100;3;1;0-5
2;1;26,1;2800;5;1;0-5
2;1;27,7;2500;6;1;6-10
3;1;30;3300;5;1;0-5
4;1;28,5;3250;9;1;6-10
4;3;28,9;2800;4;1;0-5
3;3;28,2;2600;6;1;6-10
3;3;25;2100;4;1;0-5
3;3;28,5;3000;3;1;0-5
3;1;30,3;3600;3;1;0-5
5;3;24,7;2100;5;1;0-5
3;3;27,7;2900;5;1;0-5
2;1;27,4;2700;6;1;6-10
3;3;22,9;1600;4;1;0-5
3;1;25,7;2000;5;1;0-5
3;3;28,3;3000;15;1;>10
3;3;27,2;2700;3;1;0-5
4;3;26,2;2300;3;1;0-5
3;1;27,8;2750;0;0;0-5
5;3;25,5;2250;0;0;0-5
4;3;27,1;2550;0;0;0-5
4;3;24,5;2050;5;1;0-5
4;1;27;2450;3;1;0-5
3;3;26;2150;5;1;0-5
3;3;28;2800;1;1;0-5
3;3;30;3050;8;1;6-10
3;3;29;3200;10;1;6-10
3;3;26,2;2400;0;0;0-5
3;1;26,5;1300;0;0;0-5
3;3;26,2;2400;3;1;0-5
4;3;25,6;2800;7;1;6-10
4;3;23;1650;1;1;0-5
4;3;23;1800;0;0;0-5
3;3;25,4;2250;6;1;6-10
4;3;24,2;1900;0;0;0-5
3;2;22,9;1600;0;0;0-5
4;2;26;2200;3;1;0-5
3;3;25,4;2250;4;1;0-5
4;3;25,7;1200;0;0;0-5
3;3;25,1;2100;5;1;0-5
4;2;24,5;2250;0;0;0-5
5;3;27,5;2900;0;0;0-5
4;3;23,1;1650;0;0;0-5
4;1;25,9;2550;4;1;0-5
3;3;25,8;2300;0;0;0-5
5;3;27;2250;3;1;0-5
3;3;28,5;3050;0;0;0-5
5;1;25,5;2750;0;0;0-5
5;3;23,5;1900;0;0;0-5
3;2;24;1700;0;0;0-5
3;1;29,7;3850;5;1;0-5
3;1;26,8;2550;0;0;0-5
5;3;26,7;2450;0;0;0-5
3;1;28,7;3200;0;0;0-5
4;3;23,1;1550;0;0;0-5
3;1;29;2800;1;1;0-5
4;3;25,5;2250;0;0;0-5
4;3;26,5;1967;1;1;0-5
4;3;24,5;2200;1;1;0-5
4;3;28,5;3000;1;1;0-5
3;3;28,2;2867;1;1;0-5
3;3;24,5;1600;1;1;0-5
3;3;27,5;2550;1;1;0-5
3;2;24,7;2550;4;1;0-5
3;1;25,2;2000;1;1;0-5
4;3;27,3;2900;1;1;0-5
